,,,,,,,,
,,,,,,,,
,Show Name ,Doc Name ,Promo,INR CPI,Install,Activation,D3 H5 Ret,Score
,Brahmyodha : The Destroyer,EXT_BY0829_INDRA KI SABHA_EXTENSION EPISODIC ,https://docs.google.com/document/d/1492Mpc9zPkWmu9QBKj9E9uhVACdrBbZNbOQvaJQ5QJ4/edit?usp=sharing,99,118,34.75%,16.10%,7.6 – 10.0
,Brahmyodha : The Destroyer,Base_BY0659_Koun Hai Vo_Pallavi Joshi_Asif ,https://docs.google.com/document/d/1R95Prz1E1LpBABJWPWXpPfQN9jJA_c7HRFxmymaj2uE/edit?usp=sharing,160,152,36.18%,13.16%,7.6 – 10.0
,Brahmyodha : The Destroyer,Base_BY0654_Nagarjun Ki Nafrat_Sahil_Asif,https://docs.google.com/document/d/12B11woAsmwGoQ3Zb0EEEh31unhKwVIAUzCnvjNc2gso/edit?usp=sharing,163,136,38.24%,13.24%,7.6 – 10.0
,Brahmyodha : The Destroyer,BY_fir se janam_Aisha_Tandrima',https://docs.google.com/document/d/1juxRZtdEFMUWS4IiU5x6zT7eeA7w4n0g/edit?usp=sharing&ouid=103398166082287987713&rtpof=true&sd=true,240,55,32.73%,23.64%,7.0 – 7.5
,Brahmyodha : The Destroyer,Vidyut ka janam_Divya_- Gen AI script,https://docs.google.com/document/d/1dNLq6ZRLtmzgY6aPsZKDQeXVxQyzUV1LRXFisp7hwvM/edit?usp=sharing,184,338,25.44%,8.88%,7.0 – 7.5
,Brahmyodha : The Destroyer,REWORK_BY0797_CHANA CHOR GARAM_AASHIS_ASIF_SC20260608-3418,https://docs.google.com/document/d/15Dl4gLZVxvP7AuCtNnHqCXCzIg8SFwhPs1ulzWmTtqE/edit?usp=sharing,241,239,34.31%,18.83%,7.0 – 7.5
,Brahmyodha : The Destroyer,BASE_BY0796_Ghamandi Aishwarya_Divya_ASIF_SC20260608-4541_Nesara_24:29,https://docs.google.com/document/d/1oKhYG1efi69szsu2PYd9FNMxrMe_qsCr4VhQ3wBX6k8/edit?tab=t.0,235,56,19.64%,5.36%,<6.9
,Brahmyodha : The Destroyer,EXT_BY0826_SON OF FIRE_AI_AASHISH_ASIF,https://docs.google.com/document/d/1AkgQzDU2eFnml-w4LITnyr_BfK1OPP7vreFgborLu5E/edit?usp=sharing,218,33,12.12%,3.03%,<6.9
,Brahmyodha : The Destroyer,Base_BHY_Thama Ki Shart_Neelofar_Tandrima_Manual Script_30-35 Mint Promo_SC20260708-17111_Nesara_39:19,https://docs.google.com/document/d/1nnl3S38t8pyqXm_E1zmvjWZknWQCPIlqfA27Mgiit4E/edit?tab=t.0,509,76,17.11%,11.84%,<6.9
,Brahmyodha : The Destroyer,Base-BHY_Thaama Ki Shart_Neelofar_Tandrima_AI Etention _30 Mint Promo SC20260703-852_Nesara_37:43,https://docs.google.com/spreadsheets/d/1RbOVZPo47HQxsVg_fmT9mF2POv-1r_aS/edit?usp=sharing&ouid=103398166082287987713&rtpof=true&sd=true,445,65,12.31%,7.69%,<6.9
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Show,Base script,Promo,INR CPI,Install,Activation,D3 H5 Ret,Score
,King Of Dragon,Bhikhari Pati (Contract Shaadi) Script + PS_Ankit_Tandrima,https://docs.google.com/document/d/1W7e4SYIkIwaHyE7SiuTb8d4czbdvKS_8siuWGGE0lo4/edit?usp=sharing,161,90,30.00%,10.00%,7.6 - 10
,King Of Dragon,Base_KD0153_Boyfriend Ka Badla (In-app Ext)_Sushmita_Asif,https://docs.google.com/document/d/1jdI4xOk2xNbYARDqbl1S7ytCCrnldGZJ8YUmG8ggtE8/edit?usp=sharing,160,375,46.40%,15.20%,7.6 - 10
,King Of Dragon,EXT_KD0105_Diljala_Crunch_Q1_Sushmita_Asif ,https://docs.google.com/document/d/1FEKgtEqYLk--8jRkim-c5L44aAknMfLCGmLoHul0Dq4/edit?usp=sharing,176,392,49.49%,17.35%,7.6 - 10
,King Of Dragon,Arjun Ki Shaadi V2_Script + PS_Ankit Pal_Tandrima,https://docs.google.com/document/d/13-C7YmMV7ytpK9l9aQ8Ur5qVceRyhIfAVlxnotjXe7Y/edit?usp=sharing,250,175,26.86%,12.64%,7.0 – 7.5
,King Of Dragon,Copy of BASE_KD0216_GUARANTEE ARJUN KI _AASHISH_ASIF_SC20260711-28337,https://docs.google.com/document/d/1YpIhOkPSrM6rcpMMM8xKLTLaGNIwynW2ZLXdLxNQucg/edit?tab=t.0,210,92,28.26%,14.13%,7.0 – 7.5
,King Of Dragon,BASE_KOD_Dragon King Ka Akhiri Waris_Sonali_Tandrima_SC20260515-33_Nesara/Yashveer_19:23,https://docs.google.com/document/d/140_60lVPWVDW55nsGDDx-MZ6CKhAN3jzXVPQAAUq5w8/edit?tab=t.0,558,23,13.04%,4.35%,<6.9
,King Of Dragon,GUSSAIL_GHAR_JAMAI-1780486389848,https://docs.google.com/document/d/18PG6Qj79XwGKy3zhTUfJhH0hCWgz7h3V/edit?usp=sharing&ouid=103398166082287987713&rtpof=true&sd=true,541,42,16.67%,4.76%,<6.9
,King Of Dragon,Base_KD0202_Pyar_ka_Khel_AI_Rahul_Pandey_Asif__2_-1783062396446,https://docs.google.com/document/d/1QRbsi7Cdu9C0owPEDbeBTaCCZfJMhHtn/edit?usp=sharing&ouid=103398166082287987713&rtpof=true&sd=true,374,69,21.74%,10.17%,<6.9
,King Of Dragon,Base_KD0193_Chaalbaaz Boyfriend_AI_Sushmita_Asif_SC20260626-13915_Nesara_35:41,https://docs.google.com/document/d/1207oToMZFH7mf7tyTZVyZN5j0zdEQCa7ggGt_Fc-zfM/edit?tab=t.0,437,33,21.21%,15.15%,<6.9
